course,year,semester,code,name
BAEM,1,1,BAEM 1146,PRINCIPLES OF AGRICULTURAL ECONOMICS
BAEM,1,1,BMAT 1101,BASIC MATHEMATICS
BAEM,1,1,BMKT 1202,PRINCIPLES OF MARKETING
BAEM,1,1,BUCU 1101,COMMUNICATION SKILLS
BAEM,1,1,BUCU 1102,LIFE SKILLS
BAEM,1,1,BUCU 1104,COMPUTER APPLICATIONS
BAEM,1,1,BUCU 1105,COOPERATIVE PHILOSOPHY
BASD,1,1,BCSC 1102,INTRODUCTION TO PROGRAMMING
BASD,1,1,BDSC 1101,OPEN SOURCE TOOLS FOR DATA SCIENCE
BASD,1,1,BMAT 1101,BASIC MATHEMATICS
BASD,1,1,BUCU 1101,COMMUNICATION SKILLS
BASD,1,1,BUCU 1102,LIFE SKILLS
BASD,1,1,BUCU 1104,COMPUTER APPLICATIONS
BASD,1,1,BUCU 1105,COOPERATIVE PHILOSOPHY
BASD,2,1,BCIT 2115,PYTHON PROGRAMMING
BASD,2,1,BDSC 2102,NOSQL DATABASE SYSTEMS
BASD,2,1,BMAT 2109,LINEAR ALGEBRA
BASD,2,1,BMAT 2111,CALCULUS II
BASD,2,1,BSTA 2104,PROBABILITY AND STATISTICS II
BASD,2,1,BSTA 2132,INTRODUCTION TO STATISTICAL COMPUTING
BASD,2,1,BSTA 2134,LINEAR MODELS I
BASD,3,1,BDSC 3105,DATA SCIENCE METHODOLOGY
BASD,3,1,BDSC 3106,DATA SCIENCE IN THE SOCIETY
BASD,3,1,BDSC 3107,DATA WAREHOUSING
BASD,3,1,BDSC 3109,BUSINESS INTELLIGENCE AND BIG DATA ANALYTICS
BASD,3,1,BSTA 3109,OPERATIONS RESEARCH II
BASD,3,1,BSTA 3111,PROBABILITY AND STATISTICS IV
BASD,3,1,BSTA 3152,STATISTICAL PROGRAMMING
BASD,4,1,BCSC 4147,MACHINE LEARNING
BASD,4,1,BDSC 4113,DIGITAL TRANSFORMATION
BASD,4,1,BDSC 4114,CREATIVE THINKING
BASD,4,1,BSTA 3247,HYPOTHESIS TESTING
BASD,4,1,BSTA 4116,TIMES SERIES ANALYSIS
BASD,4,1,BSTA 4150,PROJECT 1
BASE,1,1,BACC 1131,PRINCIPLES OF ACCOUNTING
BASE,1,1,BECO 1101,PRINCIPLES OF MICROECONOMICS
BASE,1,1,BMAT 1101,BASIC MATHEMATICS
BASE,1,1,BSTA 2132,INTRODUCTION TO STATISTICAL COMPUTING
BASE,1,1,BUCU 1101,COMMUNICATION SKILLS
BASE,1,1,BUCU 1102,LIFE SKILLS
BASE,1,1,BUCU 1103,COMPUTER APPLICATIONS
BASE,1,1,BUCU 1105,COOPERATIVE PHILOSOPHY
BASE,2,1,BACC 2105,COST ACCOUNTING
BASE,2,1,BAFS 2112,AGRICULTURAL ECONOMICS
BASE,2,1,BCIT 2115,PYTHON PROGRAMMING
BASE,2,1,BECO 2103,INTERMEDIATE MICROECONOMICS
BASE,2,1,BMAT 2109,LINEAR ALGEBRA
BASE,2,1,BMAT 2111,CALCULUS II
BASE,2,1,BSTA 2104,PROBABILITY AND STATISTICS II
BASE,2,1,BSTA 2134,LINEAR MODELS I
BASE,3,1,BECO 3110,INTERNATIONAL ECONOMICS
BASE,3,1,BECO 3119,ADVANCED MICROECONOMIC THEORY
BASE,3,1,BECO 3120,FINANCIAL ECONOMICS
BASE,3,1,BSTA 3109,OPERATIONS RESEARCH II
BASE,3,1,BSTA 3111,PROBABILITY AND STATISTICS IV
BASE,3,1,BSTA 3138,ECONOMETRICS II
BASE,4,1,BECO 4114,HEALTH ECONOMICS
BASE,4,1,BHRM 3114,LABOUR ECONOMICS
BASE,4,1,BSTA 3110,STATISTICAL DATA ANALYSIS
BASE,4,1,BSTA 4105,DESIGN AND ANALYSIS OF SAMPLE SURVEY
BASE,4,1,BSTA 4116,TIME SERIES ANALYSIS
